Tweet,Timestamp,Processed Tweet,polarity,subjectivity,label
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:49:52,farmer protest,0.0,0.0,0.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:48:10,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
"#FarmersProtest | ""Deep Sidhu, Lakha Sidhana, Sukhpreet Udhoke and Bir Singh were important for a section of young… https://t.co/v2iccdRJr7",2021-01-27 16:48:00,deep sidhu lakha sidhana sukhpreet udhoke bir singh important section young,0.16666666666666666,0.6,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:47:16,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:46:53,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:45:58,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:45:50,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:45:36,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @1Patelzuber: ""Violence Not Solution To Any Problem"": Rahul Gandhi On #FarmersProtest

 https://t.co/qYiFqjjx4s https://t.co/NXLDH3yjR4",2021-01-27 16:45:22,violence solution problem rahul gandhi,0.0,0.0,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:45:06,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:45:02,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:45:00,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @hargunspeaks: 40000 Farmers of Maharashtra showed that the Protest against the #FarmLaws is common mans fight!

I got  an opportunity t…",2021-01-27 16:44:46,farmer maharashtra showed protest common man fight got opportunity,-0.3,0.5,-1.0
"RT @AISFofficial: Comrades of AISF, AIYF, DMF today at Ghazipur Border. Comrades of JNU, Delhi University, Jamia University, Indraprastha U…",2021-01-27 16:44:28,comrade aisf aiyf dmf today ghazipur border comrade jnu delhi university jamia university indraprastha u,0.0,0.0,0.0
"RT @timesofindia: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bha…",2021-01-27 16:43:59,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bha,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:43:47,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:43:46,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:43:41,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
Exactly right!! This is not a religious protest. This is a farmers protest. When one tries so many different permut… https://t.co/jH1yI56uNb,2021-01-27 16:43:20,exactly right religious protest farmer protest one try many different permut,0.19642857142857142,0.4714285714285714,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:43:15,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:43:03,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @RaviSinghKA: Please DO NOT use derogatory language against anybody ! 

Keep the protest peaceful ! 

Respect the wishes of the farmers…",2021-01-27 16:43:01,please use derogatory language anybody keep protest peaceful respect wish farmer,0.25,0.5,1.0
"RT @LiveLawIndia: Salve : If your lordships are staying the laws, then let the farmers call off the protests.

CJI : Mr.Salve, everything c…",2021-01-27 16:43:00,salve lordship staying law let farmer call protest cji mrsalve everything c,0.0,0.0,0.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:42:59,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:42:50,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:42:37,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @SimranRoohi: Did you know this is currently happening? 
Today almost 200,000 (yes estimated 200K!) tractors from villages in Punjab, Ha…",2021-01-27 16:42:30,know currently happening today almost yes estimated k tractor village punjab ha,0.0,0.4,0.0
"RT @Mittaloak: .@narendramodi 
ANTI FARMERS LAWS MUST BE REPEALED! 
https://t.co/8XFfBC4RYT 
@Kisanektamorcha @landislife @oak_institute @M…",2021-01-27 16:42:18,anti farmer law must repealed,0.0,0.0,0.0
"RT @Dubeyjilive: Police barricading removed from #ChillaBorder. Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu) who w…",2021-01-27 16:42:08,police barricading removed thakur bhanu pratap singh president bharatiya kisan union bhanu w,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:42:05,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:41:47,farmer protest,0.0,0.0,0.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:41:41,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:41:04,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:40:47,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:40:31,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:39:21,farmer protest,0.0,0.0,0.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:38:35,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:38:22,farmer protest,0.0,0.0,0.0
"RT @anuragbhatiabjp: Scenes from the “PEACEFUL” farmers' protest 💔🥺

#DelhiUnderAttack
#ShameOnTractorRally  #FarmersProtest 

@vatsalbrawa…",2021-01-27 16:38:06,scene peaceful farmer protest,0.25,0.5,1.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:37:33,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:37:28,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @AnisPFI: Violence is created during genuine peoples protest &amp; what happens next:
Bhima Koregaon - Witch-hunt of Dalit and Tribal activi…",2021-01-27 16:37:19,violence created genuine people protest amp happens next bhima koregaon - witch-hunt dalit tribal activi,0.2,0.25,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:35:59,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"Police barricading removed from #ChillaBorder. Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu… https://t.co/HmxLXOeOq2",2021-01-27 16:35:42,police barricading removed thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:34:56,farmer protest,0.0,0.0,0.0
"RT @dranupmodgil: Responsible for
1.  Delhi riots - When US President was visiting India.
2. More than 150 deaths during Farmers protest an…",2021-01-27 16:34:38,responsible delhi riot - u president visiting india death farmer protest,0.2,0.55,1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:33:14,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:33:12,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @PencyS: Media - This is not the way to do #Protest 

Farmers - This is not the way to do #Journalism 

#FarmersProtest #RepublicDay #Go…",2021-01-27 16:32:53,medium - way farmer - way,0.0,0.0,0.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:32:50,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:32:44,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:32:15,farmer protest,0.0,0.0,0.0
"RT @Kisanekmorcha: Approximately 15,000 farmers from across 21 districts in Maharashtra reached Azad Maidan in #Mumbai today from Nashik, f…",2021-01-27 16:31:36,approximately farmer across district maharashtra reached azad maidan today nashik f,-0.4,0.6,-1.0
"RT @AnisPFI: Violence is created during genuine peoples protest &amp; what happens next:
Bhima Koregaon - Witch-hunt of Dalit and Tribal activi…",2021-01-27 16:31:36,violence created genuine people protest amp happens next bhima koregaon - witch-hunt dalit tribal activi,0.2,0.25,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:31:30,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
RT @ZeeNewsEnglish: #FarmersProtest LIVE Updates: Farmers leaders were also involved in the violence that broke out during the #TractorRall…,2021-01-27 16:31:10,live update farmer leader also involved violence broke,0.13636363636363635,0.5,1.0
"RT @ZeeNewsEnglish: #FarmersProtest LIVE Updates: Delhi Police Commissioner SN Srivastava briefs media on farmers' #TractorRally.

#FarmLaw…",2021-01-27 16:31:03,live update delhi police commissioner sn srivastava brief medium farmer,0.06818181818181818,0.41666666666666663,1.0
"RT @dranupmodgil: Responsible for
1.  Delhi riots - When US President was visiting India.
2. More than 150 deaths during Farmers protest an…",2021-01-27 16:31:01,responsible delhi riot - u president visiting india death farmer protest,0.2,0.55,1.0
"RT @NewsMobileIndia: Farmers' Protest LIVE Updates: 2 Farmer Unions Withdraw From The Protest After Republic Day Violence

#FarmersProtests…",2021-01-27 16:30:36,farmer protest live update farmer union withdraw protest republic day violence,0.13636363636363635,0.5,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:30:09,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @jassrajput54: Feeling sad, what ever happened in Dehli... but nobody can put blame on farmers bcoz, why modi govt not listening to them…",2021-01-27 16:29:44,feeling sad ever happened dehli nobody put blame farmer bcoz modi govt listening,-0.5,1.0,-1.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:29:35,farmer protest,0.0,0.0,0.0
RT @strombo: Really great op-ed by @HartoshSinghBal in @nytopinion that explains the #FarmersProtest. Please give it a read! #DelhiFarmers…,2021-01-27 16:29:33,really great op-ed explains please give read,0.8,0.75,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:28:54,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"Respecting the Decision of Farmer unions withdrawing from protest, which caused Violence at Capital #NewDelhi. 
Hop… https://t.co/hLYIFZkQfb",2021-01-27 16:28:20,respecting decision farmer union withdrawing protest caused violence capital hop,0.0,0.0,0.0
"RT @nsui: KSU activists held the protest across the state in support of farmers against the Black Farm Bills passed by Modi Government. 
We…",2021-01-27 16:28:04,ksu activist held protest across state support farmer black farm bill passed modi government,-0.16666666666666666,0.43333333333333335,-1.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:27:39,farmer protest,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:27:18,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:27:17,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:27:14,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:27:13,farmer protest,0.0,0.0,0.0
RT @ZeeNewsEnglish: #WATCH: Farmers seen taking off their tents at the Chilla border following the announcement of Thakur Bhanu Pratap Sing…,2021-01-27 16:26:43,farmer seen taking tent chilla border following announcement thakur bhanu pratap sing,0.0,0.1,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:26:26,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @dranupmodgil: Responsible for
1.  Delhi riots - When US President was visiting India.
2. More than 150 deaths during Farmers protest an…",2021-01-27 16:26:26,responsible delhi riot - u president visiting india death farmer protest,0.2,0.55,1.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:26:14,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
RT @the_hindu: This conspiracy was drafted to malign a peaceful protest of the farmers: Randeep Surjewala. #FarmersProtest,2021-01-27 16:25:38,conspiracy drafted malign peaceful protest farmer randeep surjewala,0.25,0.5,1.0
"RT @ANINewsUP: Police barricading being removed from Chilla Border. 

Thakur Bhanu Pratap Singh, president of Bharatiya Kisan Union (Bhanu)…",2021-01-27 16:25:29,police barricading removed chilla border thakur bhanu pratap singh president bharatiya kisan union bhanu,0.0,0.0,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:24:13,farmer protest,0.0,0.0,0.0
RT @the_hindu: This conspiracy was drafted to malign a peaceful protest of the farmers: Randeep Surjewala. #FarmersProtest,2021-01-27 16:23:45,conspiracy drafted malign peaceful protest farmer randeep surjewala,0.25,0.5,1.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:23:45,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:22:43,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @IndiaToday: The All India Kisan Sangharsh Coordination Committee (AIKSCC) has withdrawn its support from the farmers' protest saying ""t…",2021-01-27 16:22:41,india kisan sangharsh coordination committee aikscc withdrawn support farmer protest saying,0.0,0.0,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:22:22,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:22:20,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
"RT @_ManishaKaushik: What if those people in the #TractorRally were BJP goons?
And all of it was staged to defame the farmers protest. 

#F…",2021-01-27 16:21:56,people bjp goon staged defame farmer protest,0.0,0.0,0.0
"RT @nsui: KSU activists held the protest across the state in support of farmers against the Black Farm Bills passed by Modi Government. 
We…",2021-01-27 16:21:34,ksu activist held protest across state support farmer black farm bill passed modi government,-0.16666666666666666,0.43333333333333335,-1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:21:14,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @dranupmodgil: Responsible for
1.  Delhi riots - When US President was visiting India.
2. More than 150 deaths during Farmers protest an…",2021-01-27 16:20:58,responsible delhi riot - u president visiting india death farmer protest,0.2,0.55,1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:20:57,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @nsui: KSU activists held the protest across the state in support of farmers against the Black Farm Bills passed by Modi Government. 
We…",2021-01-27 16:20:57,ksu activist held protest across state support farmer black farm bill passed modi government,-0.16666666666666666,0.43333333333333335,-1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:20:44,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"RT @dna: Farmers protest: BJP MLA demands hanging of leaders involved in January 26 violence, writes to Amit Shah

#FarmersProtests #LalQui…",2021-01-27 16:20:21,farmer protest bjp mla demand hanging leader involved january violence writes amit shah,0.0,0.0,0.0
"RT @LAKSHMIALAPATI3: Now we all know that all the extra niceness in terms of MSP etc to state of Punjab, if the #FarmBills2020 protest- poi…",2021-01-27 16:20:11,know extra niceness term msp etc state punjab protest- poi,0.0,0.1,0.0
"RT @Ashutosh_Sinha3: #IndiaWithFarmers 
Today At West Bengal....
Human Sea.......
Farmer Protest Movement... 
#FarmersProstests 
#FarmersPr…",2021-01-27 16:20:00,today west bengal human sea farmer protest movement,0.0,0.1,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:19:52,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
"Now we all know that all the extra niceness in terms of MSP etc to state of Punjab, if the #FarmBills2020 protest-… https://t.co/HvjysyAEEd",2021-01-27 16:19:44,know extra niceness term msp etc state punjab protest-,0.0,0.1,0.0
"RT @imaryanjakhar: Indian flag was replaced with Khalistan flag atop Red Fort during farmers' protest.
 #FarmersProtest #IndianRepublicBlac…",2021-01-27 16:19:23,indian flag replaced khalistan flag atop red fort farmer protest,0.0,0.0,0.0
"RT @ZeeNewsEnglish: #FarmersProtest LIVE Updates: Delhi Police Commissioner SN Srivastava briefs media on farmers' #TractorRally.

#FarmLaw…",2021-01-27 16:18:47,live update delhi police commissioner sn srivastava brief medium farmer,0.06818181818181818,0.41666666666666663,1.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:18:42,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
"RT @AnisPFI: Violence is created during genuine peoples protest &amp; what happens next:
Bhima Koregaon - Witch-hunt of Dalit and Tribal activi…",2021-01-27 16:18:36,violence created genuine people protest amp happens next bhima koregaon - witch-hunt dalit tribal activi,0.2,0.25,1.0
"RT @Bharat19470: Indian farmers protest has been tear gassed &amp; lathi charged by Modi govt.
 
Here farmers beaten by police mercilessly bcoz…",2021-01-27 16:18:30,indian farmer protest tear gassed amp lathi charged modi govt farmer beaten police mercilessly bcoz,-0.7,1.0,-1.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:18:14,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:18:04,farmer protest,0.0,0.0,0.0
"RT @SimranRoohi: Did you know this is currently happening? 
Today almost 200,000 (yes estimated 200K!) tractors from villages in Punjab, Ha…",2021-01-27 16:17:32,know currently happening today almost yes estimated k tractor village punjab ha,0.0,0.4,0.0
"RT @ANINewsUP: #WATCH: Some farmers seen taking off their tents at Chilla border following announcement of Thakur Bhanu Pratap Singh, presi…",2021-01-27 16:17:04,farmer seen taking tent chilla border following announcement thakur bhanu pratap singh presi,0.0,0.1,0.0
RT @Sana_Jamal: Sikh farmers who have fed millions of Indians endured tear gas &amp; batons on India's Republic Day as they protest for their r…,2021-01-27 16:16:54,sikh farmer fed million indian endured tear gas amp baton india republic day protest r,0.0,0.0,0.0
"RT @YourAnonCentral: Farmers in India continue to protest, scenes from the massive #TractorParade. Protestors in Delhi later clashed with p…",2021-01-27 16:16:54,farmer india continue protest scene massive protestors delhi later clashed p,0.0,0.5,0.0
RT @satishacharya: Farmers protest! #FarmersProtest #RedFort https://t.co/NAn2Rm6SxH,2021-01-27 16:16:30,farmer protest,0.0,0.0,0.0
